,_step,episode_step,tracking_error,algorithm,reward_type,run
78,413,78,0.0026417209022744368,SAC,sq_error_da,fresh-fire-135
79,417,79,0.003496344953216505,SAC,sq_error_da,fresh-fire-135
80,421,80,0.004399981950212693,SAC,sq_error_da,fresh-fire-135
81,425,81,0.0052952398016302485,SAC,sq_error_da,fresh-fire-135
82,429,82,0.006099961117667104,SAC,sq_error_da,fresh-fire-135
83,433,83,0.006777442305106164,SAC,sq_error_da,fresh-fire-135
84,437,84,0.007398341594092116,SAC,sq_error_da,fresh-fire-135
85,441,85,0.007879703163698626,SAC,sq_error_da,fresh-fire-135
86,445,86,0.008225098145278149,SAC,sq_error_da,fresh-fire-135
87,449,87,0.008408398747883124,SAC,sq_error_da,fresh-fire-135
88,453,88,0.008416621135068558,SAC,sq_error_da,fresh-fire-135
89,457,89,0.00824685954315794,SAC,sq_error_da,fresh-fire-135
90,461,90,0.007905385677873307,SAC,sq_error_da,fresh-fire-135
91,465,91,0.007407009727041516,SAC,sq_error_da,fresh-fire-135
92,469,92,0.006774169762175283,SAC,sq_error_da,fresh-fire-135
93,473,93,0.005989078521549002,SAC,sq_error_da,fresh-fire-135
94,477,94,0.005108641190121772,SAC,sq_error_da,fresh-fire-135
95,481,95,0.0041729083578295086,SAC,sq_error_da,fresh-fire-135
96,485,96,0.0032546904034025143,SAC,sq_error_da,fresh-fire-135
97,489,97,0.002421337886012622,SAC,sq_error_da,fresh-fire-135
98,493,98,0.0016415677001886163,SAC,sq_error_da,fresh-fire-135
99,497,99,0.0009914663324401953,SAC,sq_error_da,fresh-fire-135
0,469,0,0.00461892097843737,DSAC,sq_error,devout-planet-134
1,473,1,0.01119854393111756,DSAC,sq_error,devout-planet-134
2,477,2,0.015110525930744134,DSAC,sq_error,devout-planet-134
3,481,3,0.016503340937143136,DSAC,sq_error,devout-planet-134
4,485,4,0.016663849204803585,DSAC,sq_error,devout-planet-134
5,489,5,0.016325502243460903,DSAC,sq_error,devout-planet-134
6,493,6,0.01594914232802801,DSAC,sq_error,devout-planet-134
7,497,7,0.015493295310441925,DSAC,sq_error,devout-planet-134
8,501,8,0.014941296933503294,DSAC,sq_error,devout-planet-134
9,505,9,0.014439365889315329,DSAC,sq_error,devout-planet-134
10,509,10,0.013946677153061863,DSAC,sq_error,devout-planet-134
11,513,11,0.013364978904992773,DSAC,sq_error,devout-planet-134
12,517,12,0.012711163852231446,DSAC,sq_error,devout-planet-134
13,521,13,0.011972976802483371,DSAC,sq_error,devout-planet-134
14,525,14,0.01113620261747548,DSAC,sq_error,devout-planet-134
15,529,15,0.010206004573026117,DSAC,sq_error,devout-planet-134
16,533,16,0.00924536678113378,DSAC,sq_error,devout-planet-134
17,537,17,0.008281874203440065,DSAC,sq_error,devout-planet-134
18,541,18,0.007336467158775586,DSAC,sq_error,devout-planet-134
19,545,19,0.0064842820256154335,DSAC,sq_error,devout-planet-134
20,549,20,0.0057944258014997205,DSAC,sq_error,devout-planet-134
21,553,21,0.005282332485169719,DSAC,sq_error,devout-planet-134
22,557,22,0.005063530958290019,DSAC,sq_error,devout-planet-134
23,561,23,0.005341823152480154,DSAC,sq_error,devout-planet-134
24,565,24,0.006290406813649099,DSAC,sq_error,devout-planet-134
25,569,25,0.007780868495960751,DSAC,sq_error,devout-planet-134
26,573,26,0.009506019595612245,DSAC,sq_error,devout-planet-134
27,577,27,0.011219610174901456,DSAC,sq_error,devout-planet-134
28,581,28,0.01240526007982633,DSAC,sq_error,devout-planet-134
29,585,29,0.012922269643593219,DSAC,sq_error,devout-planet-134
30,589,30,0.012887637688338723,DSAC,sq_error,devout-planet-134
31,593,31,0.011882590360492514,DSAC,sq_error,devout-planet-134
32,597,32,0.010549084550609931,DSAC,sq_error,devout-planet-134
33,601,33,0.00929605950040343,DSAC,sq_error,devout-planet-134
34,605,34,0.008241767355349055,DSAC,sq_error,devout-planet-134
35,609,35,0.007384352384580859,DSAC,sq_error,devout-planet-134
36,613,36,0.0067828521106707545,DSAC,sq_error,devout-planet-134
37,617,37,0.0064290879991922185,DSAC,sq_error,devout-planet-134
38,621,38,0.006312419555417728,DSAC,sq_error,devout-planet-134
39,625,39,0.006425628094835819,DSAC,sq_error,devout-planet-134
40,629,40,0.0067689819026648555,DSAC,sq_error,devout-planet-134
41,633,41,0.007361292303358635,DSAC,sq_error,devout-planet-134
42,637,42,0.00818957888105538,DSAC,sq_error,devout-planet-134
43,641,43,0.009161581012371158,DSAC,sq_error,devout-planet-134
44,645,44,0.01030723599774643,DSAC,sq_error,devout-planet-134
45,649,45,0.011640640327166397,DSAC,sq_error,devout-planet-134
46,653,46,0.01319954563831233,DSAC,sq_error,devout-planet-134
47,657,47,0.014340937651769851,DSAC,sq_error,devout-planet-134
48,661,48,0.015113682630310921,DSAC,sq_error,devout-planet-134
49,665,49,0.01606796421005144,DSAC,sq_error,devout-planet-134
50,669,50,0.016877021920696806,DSAC,sq_error,devout-planet-134
51,673,51,0.017642024665757042,DSAC,sq_error,devout-planet-134
52,677,52,0.018318511312649957,DSAC,sq_error,devout-planet-134
53,681,53,0.018894947880888305,DSAC,sq_error,devout-planet-134
54,685,54,0.019318685851182075,DSAC,sq_error,devout-planet-134
55,689,55,0.019423029959016173,DSAC,sq_error,devout-planet-134
56,693,56,0.019234596228223128,DSAC,sq_error,devout-planet-134
57,697,57,0.018800233639518053,DSAC,sq_error,devout-planet-134
58,701,58,0.018160183041948462,DSAC,sq_error,devout-planet-134
59,705,59,0.017351120739228915,DSAC,sq_error,devout-planet-134
60,709,60,0.016471278535348702,DSAC,sq_error,devout-planet-134
61,713,61,0.015583372083140685,DSAC,sq_error,devout-planet-134
62,717,62,0.014648424902937128,DSAC,sq_error,devout-planet-134
63,721,63,0.013654465693758208,DSAC,sq_error,devout-planet-134
64,725,64,0.012606316968273563,DSAC,sq_error,devout-planet-134
65,729,65,0.011519012594894207,DSAC,sq_error,devout-planet-134
66,733,66,0.010413246322148701,DSAC,sq_error,devout-planet-134
67,737,67,0.009312125623483014,DSAC,sq_error,devout-planet-134
68,741,68,0.00824137318344703,DSAC,sq_error,devout-planet-134
69,745,69,0.007221217394202326,DSAC,sq_error,devout-planet-134
70,749,70,0.0062780356613024455,DSAC,sq_error,devout-planet-134
71,753,71,0.005529214788804686,DSAC,sq_error,devout-planet-134
72,757,72,0.004960803569374643,DSAC,sq_error,devout-planet-134
73,761,73,0.004548935222272458,DSAC,sq_error,devout-planet-134
74,765,74,0.004577101925201397,DSAC,sq_error,devout-planet-134
75,769,75,0.0053670109125019344,DSAC,sq_error,devout-planet-134
76,773,76,0.006803518867556349,DSAC,sq_error,devout-planet-134
77,777,77,0.008748133632788134,DSAC,sq_error,devout-planet-134
78,781,78,0.010093985753819592,DSAC,sq_error,devout-planet-134
79,785,79,0.010866265514427277,DSAC,sq_error,devout-planet-134
80,789,80,0.011247374128024772,DSAC,sq_error,devout-planet-134
81,793,81,0.010535265602208238,DSAC,sq_error,devout-planet-134
82,797,82,0.009461466679087661,DSAC,sq_error,devout-planet-134
83,801,83,0.00835937789482573,DSAC,sq_error,devout-planet-134
84,805,84,0.007401242702675437,DSAC,sq_error,devout-planet-134
85,809,85,0.00666603677090537,DSAC,sq_error,devout-planet-134
86,813,86,0.006163546669029317,DSAC,sq_error,devout-planet-134
87,817,87,0.005887420168904826,DSAC,sq_error,devout-planet-134
88,821,88,0.0058284039688283424,DSAC,sq_error,devout-planet-134
89,825,89,0.005986672429801636,DSAC,sq_error,devout-planet-134
90,829,90,0.006371082521516599,DSAC,sq_error,devout-planet-134
91,833,91,0.007012292667045664,DSAC,sq_error,devout-planet-134
92,837,92,0.007856476170354898,DSAC,sq_error,devout-planet-134
93,841,93,0.008849941401589201,DSAC,sq_error,devout-planet-134
94,845,94,0.010015613736472504,DSAC,sq_error,devout-planet-134
95,849,95,0.011367780858051164,DSAC,sq_error,devout-planet-134
96,853,96,0.012899266308225504,DSAC,sq_error,devout-planet-134
97,857,97,0.01405042793447834,DSAC,sq_error,devout-planet-134
98,861,98,0.014861385969869195,DSAC,sq_error,devout-planet-134
99,865,99,0.015841880618658263,DSAC,sq_error,devout-planet-134
0,102,0,7.311935894740071e-05,SAC,sq_error,mild-yogurt-133
1,106,1,0.00031384670162496587,SAC,sq_error,mild-yogurt-133
2,110,2,0.0006655951474132382,SAC,sq_error,mild-yogurt-133
3,114,3,0.00110494616179632,SAC,sq_error,mild-yogurt-133
4,118,4,0.0016110184784670506,SAC,sq_error,mild-yogurt-133
5,122,5,0.0021070528464375445,SAC,sq_error,mild-yogurt-133
