,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp,nmae_improvement
82,silver-sweep-118,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.1,0,{'runtime': 1},1.8219621181488037,6.044273037905692,10000000000,1685895091.504801,-9999999993.955729
83,wild-sweep-117,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.2,0.1,0,{'runtime': 1},1.9056360721588137,6.044273037905692,10000000000,1685895081.1566951,-9999999993.955729
84,brisk-sweep-116,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.2,0,{'runtime': 4},5.504562139511108,25.688384263139756,3.672635709266397,1685895068.2803211,22.01574855387336
85,serene-sweep-115,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.1,0.5,0,{'runtime': 5},5.636915922164917,25.688384263139756,3.659613646724148,1685895053.214561,22.02877061641561
86,hearty-sweep-114,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.9,0.9,0,{'runtime': 4},5.572346925735474,25.82480636811087,10.06402638119782,1685895037.153568,15.76077998691305
87,worthy-sweep-113,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.3,0,{'runtime': 5},5.600143909454346,25.82480636811087,3.9931378758496296,1685895021.108207,21.83166849226124
88,tough-sweep-112,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.7,0.8,0,{'runtime': 4},5.378896236419678,6.044273037905692,3.653110095370156,1685895005.6612852,2.3911629425355363
89,hardy-sweep-111,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.6,0.9,0,{'runtime': 4},5.376468181610107,6.044273037905692,7.507753111542505,1685894989.637808,-1.4634800736368128
90,cosmic-sweep-110,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.7,0,{'runtime': 4},5.5498740673065186,25.82480636811087,2.933085326181915,1685894973.634547,22.891721041928957
91,wobbly-sweep-109,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.474766254425049,25.82480636811087,4.785932563403203,1685894958.5673542,21.038873804707663
92,charmed-sweep-108,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.4,0,{'runtime': 4},5.474966764450073,25.82480636811087,2.8470668305159275,1685894942.4213078,22.977739537594942
93,sparkling-sweep-107,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.6,0.8,0,{'runtime': 4},5.384421110153198,25.82480636811087,5.4108349194901795,1685894926.26271,20.413971448620693
94,neat-sweep-106,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.4,0,{'runtime': 4},5.40444016456604,25.688384263139756,3.9454031795873377,1685894910.371982,21.74298108355242
95,magic-sweep-105,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.4,0.5,0,{'runtime': 5},5.548086881637573,25.82480636811087,3.8971653472638543,1685894895.664326,21.927641020847016
96,classic-sweep-104,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.3,0.4,0,{'runtime': 4},5.424437999725342,25.688384263139756,4.2170739718499854,1685894879.405761,21.47131029128977
97,volcanic-sweep-103,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.2,0.2,0,{'runtime': 4},5.207870006561279,25.82480636811087,3.3737142532455966,1685894863.23701,22.451092114865276
98,lunar-sweep-102,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.3,0,{'runtime': 4},5.4076831340789795,25.688384263139756,4.754117305645145,1685894847.3677351,20.93426695749461
99,ruby-sweep-101,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.2,0.3,0,{'runtime': 4},5.340827703475952,6.044273037905692,2.9077078413280866,1685894831.1190348,3.136565196577606
100,fanciful-sweep-100,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.5,0,{'runtime': 4},5.284770965576172,25.688384263139756,4.708460988048633,1685894816.0608609,20.979923275091124
101,fine-sweep-99,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.4,0.2,0,{'runtime': 4},5.35639500617981,6.044273037905692,2.6299561074651225,1685894800.153468,3.41431693044057
102,dulcet-sweep-98,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.6,0.9,0,{'runtime': 5},6.221995115280151,25.688384263139756,10.926391248497886,1685894784.251589,14.76199301464187
103,azure-sweep-97,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.7,0.5,0,{'runtime': 4},5.237622976303101,25.688384263139756,4.031344674029901,1685894761.593601,21.657039589109857
104,olive-sweep-96,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.6,0,{'runtime': 4},5.433364152908325,25.688384263139756,3.455235561000761,1685894740.714436,22.233148702139
105,woven-sweep-95,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.7,0.99,0,{'runtime': 4},5.113792896270752,25.82480636811087,199.15612701792813,1685894719.5226429,-173.33132064981726
106,swept-sweep-94,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.5,0.3,0,{'runtime': 4},5.268742084503174,25.688384263139756,4.012411501029605,1685894698.664242,21.675972762110153
107,dry-sweep-93,IDHPDSAC,0.1,0.001,DSAC-citation/desert-fog-33,exp1_pseudo_random_sin,0.99,0.8,0,{'runtime': 4},5.270418882369995,25.688384263139756,4.94122079418888,1685894677.676842,20.747163468950877
108,rosy-sweep-92,IDHPDSAC,0.1,0.001,DSAC-citation/smart-durian-34,exp1_pseudo_random_sin,0.3,0.4,0,{'runtime': 4},5.3416948318481445,6.044273037905692,3.0302505124259067,1685894656.7666078,3.0140225254797857
109,laced-sweep-91,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.7,0,{'runtime': 4},5.250949859619141,25.82480636811087,2.6054391663614025,1685894635.679287,23.219367201749467
110,exalted-sweep-90,IDHPDSAC,0.1,0.001,DSAC-citation/vague-hill-35,exp1_pseudo_random_sin,0.1,0.9,0,{'runtime': 4},5.339715003967285,25.82480636811087,12.159041805160248,1685894614.509419,13.665764562950622
