,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae,_timestamp
96,clear-sweep-104,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.8,0.7,13.892656539012062,0,{'runtime': 5},6.213821887969971,20.585377984797297,6.692721445785235,1685888876.800879
97,twilight-sweep-103,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.4,8.30038598514712,0,{'runtime': 5},6.3277587890625,14.965543983462323,6.6651579983152045,1685888861.728896
98,glamorous-sweep-102,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.1,-9999999983.988705,0,{'runtime': 1},2.168836832046509,16.011297433609993,10000000000,1685888846.211788
99,helpful-sweep-101,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.7,0.3,11.98240325086097,0,{'runtime': 5},6.410436153411865,20.585377984797297,8.602974733936327,1685888835.344767
100,rare-sweep-100,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.3,0.2,11.353882633884757,0,{'runtime': 5},6.290479898452759,16.011297433609993,4.657414799725236,1685888818.931804
101,curious-sweep-99,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.7,0.9,5.330256230759325,0,{'runtime': 5},6.413580894470215,14.965543983462323,9.635287752703,1685888803.946908
102,major-sweep-98,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.3,0.99,NaN,0,{'runtime': 5},5.530306816101074,20.585377984797297,NaN,1685888786.917394
103,spring-sweep-97,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,12.571573858874734,0,{'runtime': 5},6.377056837081909,20.585377984797297,8.013804125922563,1685888771.7197
104,driven-sweep-96,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.2,0.4,8.660346636074744,0,{'runtime': 5},6.421277046203613,14.965543983462323,6.30519734738758,1685888755.538214
105,silvery-sweep-95,IDHPSAC,0.1,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.8,0.1,-9999999983.988705,0,{'runtime': 1},2.4605488777160645,16.011297433609993,10000000000,1685888741.178227
106,amber-sweep-94,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.5,0.5,10.42858272548129,0,{'runtime': 5},6.3992650508880615,20.585377984797297,10.156795259316008,1685888729.105433
107,brisk-sweep-93,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.4,0.99,-19.160312977774936,0,{'runtime': 5},6.312878131866455,20.585377984797297,39.74569096257223,1685888712.976783
108,visionary-sweep-92,IDHPSAC,0.1,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.5,0.4,13.762359098635091,0,{'runtime': 5},6.443475008010864,20.585377984797297,6.823018886162205,1685888698.057846
109,classic-sweep-91,IDHPSAC,0.1,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.4,8.99210698599195,0,{'runtime': 6},6.876864910125732,14.965543983462323,5.973436997470373,1685888682.342662
