,name,agent,lr_a_high,lr_c_high,sac_model,task_train,discount_factor,discount_factor_model,_timestamp,nmae_improvement,_step,_wandb,_runtime,sac_nmae,idhp_nmae
73,curious-sweep-127,IDHPSAC,0.0001,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809268.136076,-12.76465356060558,0.0,{'runtime': 5},6.188157081604004,20.585377984797297,33.35003154540288
74,laced-sweep-126,IDHPSAC,5e-05,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809252.35163,-28.089858096861015,0.0,{'runtime': 5},6.4731409549713135,14.965543983462323,43.05540208032334
75,splendid-sweep-125,IDHPSAC,0.6,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809236.335331,7.811738619725611,0.0,{'runtime': 5},6.399402856826782,16.011297433609993,8.199558813884382
76,expert-sweep-124,IDHPSAC,0.05,0.001,SAC-citation/denim-leaf-172,exp1_pseudo_random_sin,0.6,0.6,1685809221.236057,8.495232696076204,0.0,{'runtime': 5},6.303544998168945,14.965543983462323,6.47031128738612
77,wild-sweep-123,IDHPSAC,0.005,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809205.047767,-12.51716312783065,0.0,{'runtime': 5},6.138123989105225,16.011297433609993,28.52846056144064
78,clean-sweep-122,IDHPSAC,0.0005,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809189.1785522,-11.870809907642013,0.0,{'runtime': 5},6.330116033554077,20.585377984797297,32.45618789243931
79,dazzling-sweep-121,IDHPSAC,0.5,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809173.134224,15.908317947370032,0.0,{'runtime': 5},6.318339824676514,20.585377984797297,4.677060037427263
80,sweepy-sweep-120,IDHPSAC,0.8,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809156.7791018,10.283881786308529,0.0,{'runtime': 5},6.042377948760986,16.011297433609993,5.727415647301465
81,generous-sweep-119,IDHPSAC,0.7,0.001,SAC-citation/divine-grass-171,exp1_pseudo_random_sin,0.6,0.6,1685809141.970169,8.241040618725808,0.0,{'runtime': 5},6.222864151000977,16.011297433609993,7.770256814884184
82,mild-sweep-118,IDHPSAC,0.01,0.001,SAC-citation/firm-feather-173,exp1_pseudo_random_sin,0.6,0.6,1685809125.820778,-8.751535389096922,0.0,{'runtime': 5},6.057469844818115,20.585377984797297,29.33691337389422
